;r2;mae;mse;rmse;train_size;test_size;file
0;-0.8687;0.2974;0.1314;0.3625;1440;1440;bathroom_K1
1;-1.0935;0.2493;0.0926;0.3043;7200;7200;bathroom_K1
2;-1.1107;0.348;0.1785;0.4225;1440;1440;bedroom_K3
3;-0.26;0.2001;0.0542;0.2328;7200;7200;bedroom_K3
4;-1.6436;0.3328;0.1434;0.3787;1440;1440;kidsroom_K5
5;-0.1456;0.1269;0.0483;0.2197;7200;7200;kidsroom_K5
6;-0.9397;0.2517;0.0921;0.3035;1440;1440;kitchen_K2
7;-0.392;0.2174;0.0621;0.2493;7200;7200;kitchen_K2
8;-1.1625;0.3545;0.1549;0.3936;1440;1440;livingroom_K4
9;-0.3731;0.1323;0.0326;0.1806;7200;7200;livingroom_K4
